y=sin(x)             x                       y                     polinomeps
 7.01999999999999E+000    7.76061262290862E+000    7.76054346464171E+000    6.91582669105628E-005
 7.06499999999999E+000    7.77463613204204E+000    7.77457965151426E+000    5.64805277853964E-005
 7.10999999999999E+000    7.78722287048768E+000    7.78718217142345E+000    4.06990642378702E-005
 7.15499999999999E+000    7.79843846402472E+000    7.79841662591887E+000    2.18381058516570E-005
 7.19999999999999E+000    7.80835131453225E+000    7.80835131453227E+000    1.86517468137026E-014
 7.24499999999999E+000    7.81703246149888E+000    7.81705708762301E+000    2.46261241336754E-005
 7.28999999999999E+000    7.82455543819199E+000    7.82460719433737E+000    5.17561453756699E-005
 7.33499999999999E+000    7.83099612277805E+000    7.83107712618738E+000    8.10034093277068E-005
 7.37999999999999E+000    7.83643258469522E+000    7.83654445679004E+000    1.11872094817223E-004
 7.42499999999999E+000    7.84094492658943E+000    7.84108867834404E+000    1.43751754611898E-004
 7.46999999999999E+000    7.84461512213388E+000    7.84479103545768E+000    1.75913323800181E-004
 7.51499999999999E+000    7.84752685006038E+000    7.84773435697946E+000    2.07506919083222E-004
 7.55999999999999E+000    7.84976532473849E+000    7.85000288652160E+000    2.37561783107410E-004
 7.60499999999999E+000    7.85141712364558E+000    7.85168211240539E+000    2.64988759814067E-004
 7.64999999999999E+000    7.85257001207694E+000    7.85285859779799E+000    2.88585721047951E-004
 7.69499999999999E+000    7.85331276545116E+000    7.85361981185110E+000    3.07046399942834E-004
 7.73999999999999E+000    7.85373498957012E+000    7.85405396269339E+000    3.18973123268229E-004
 7.78499999999999E+000    7.85392693919795E+000    7.85424983317181E+000    3.22893973855543E-004
 7.82999999999999E+000    7.85397933532595E+000    7.85429662027970E+000    3.17284953747610E-004
 7.87499999999999E+000    7.85398318149355E+000    7.85428377925455E+000    3.00597760999999E-004
 7.91999999999999E+000    7.85402957953727E+000    7.85430087337304E+000    2.71293835774067E-004
 7.96499999999999E+000    7.85420954514062E+000    7.85443743051724E+000    2.27885376622439E-004
 8.00999999999999E+000    7.85461382355843E+000    7.85478280763264E+000    1.68984074205625E-004
 8.05499999999999E+000    7.85533270588876E+000    7.85542606424656E+000    9.33583577991115E-005
 8.09999999999999E+000    7.85645584626421E+000    7.85645584626407E+000    1.38555833473220E-013
 8.14499999999999E+000    7.85807208033298E+000    7.85796028130825E+000    1.11799024733017E-004
 8.18999999999999E+000    7.86026924539706E+000    7.86002688692171E+000    2.42358475347260E-004
 8.23499999999999E+000    7.86313400257162E+000    7.86274249299795E+000    3.91509573672622E-004
 8.27999999999999E+000    7.86675166132597E+000    7.86619317986333E+000    5.58481462643812E-004
 8.32499999999999E+000    7.87120600676096E+000    7.87046423348314E+000    7.41773277822766E-004
 8.36999999999999E+000    7.87657912997281E+000    7.87564011931996E+000    9.39010652852623E-004
 8.41499999999999E+000    7.88295126184669E+000    7.88180447642661E+000    1.14678542008040E-003
 8.45999999999999E+000    7.89040061061657E+000    7.88904013341276E+000    1.36047720380539E-003
 8.50499999999999E+000    7.89900320352029E+000    7.89742914798022E+000    1.57405554007184E-003
 8.54999999999999E+000    7.90883273287040E+000    7.90705287178007E+000    1.77986109032791E-003
 8.59499999999999E+000    7.91996040685235E+000    7.91799204240350E+000    1.96836444885484E-003
 8.63999999999999E+000    7.93245480535231E+000    7.93032690437733E+000    2.12790097497972E-003
 8.68499999999999E+000    7.94638174110630E+000    7.94413736109646E+000    2.24438000983707E-003
 8.72999999999999E+000    7.96180412645187E+000    7.95950315968596E+000    2.30096676591440E-003
 8.77499999999999E+000    7.97878184595216E+000    7.97650411084906E+000    2.27773510310048E-003
 8.81999999999999E+000    7.99737163515010E+000    7.99522034581963E+000    2.15128933046582E-003
 8.86499999999999E+000    8.01762696569829E+000    8.01573261260262E+000    1.89435309566299E-003
 8.90999999999999E+000    8.03959793709723E+000    8.03812261375172E+000    1.47532334550782E-003
 8.95499999999999E+000    8.06333117526092E+000    8.06247338799823E+000    8.57787262686927E-004
 8.99999999999999E+000    8.08886973811532E+000    8.08886973811415E+000    1.16884280032537E-012
